FP2-A2 ,F8 -A2 ,T4 -A2 ,T6 -A2 ,F4 -A2 ,C4 -A2 ,P4 -A2 ,O2 -A2 ,FP1-A1 ,F7 -A1 ,T3 -A1 ,T5 -A1 ,F3 -A1 ,C3 -A1 ,P3 -A1 ,O1 -A1 ,FZ -A2 ,CZ -A1 ,PZ -A2 ,BP1-REF,BP2-REF
-5,-37,-2,0,-15,-14,3,-18,59,-24,27,8,10,0,-17,-5,51,-14,15,-465,-62
-5,-38,-1,-1,-13,-13,1,-17,60,-23,29,9,11,4,-15,-7,51,-14,14,-426,-69
-5,-40,0,-3,-10,-14,-1,-14,64,-19,32,10,14,8,-13,-9,52,-12,12,-391,-73
-7,-46,0,-6,-8,-15,-5,-12,68,-13,34,10,19,12,-10,-10,53,-7,7,-359,-77
-12,-53,-2,-11,-6,-18,-10,-9,72,-7,36,10,24,15,-7,-11,54,-1,1,-331,-78
-16,-58,-4,-15,-3,-18,-13,-6,73,-2,37,10,28,18,-3,-11,53,4,-3,-306,-77
-17,-57,-3,-13,0,-14,-8,-1,72,1,38,11,30,22,1,-9,53,8,-4,-281,-74
-14,-48,2,-6,6,-3,2,6,70,3,41,15,33,27,8,-4,55,11,0,-252,-71
-7,-34,11,5,13,10,18,15,67,3,45,19,35,32,15,1,58,14,3,-219,-67
-3,-22,19,16,20,23,33,24,65,3,48,24,38,35,20,6,62,15,6,-185,-64
